commodity,market,state,district,date,modal_price,min_price,max_price,arrivals,unit
Groundnut,Rajkot,Various,Rajkot,2014-01-01,5800.0,5510.0,6090.0,197,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-02,5908.05,5612.65,6203.45,212,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-03,5924.1,5627.9,6220.31,236,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-04,5922.15,5626.04,6218.26,237,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-06,5892.25,5597.64,6186.86,229,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-07,5950.3,5652.78,6247.82,173,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-08,5814.35,5523.63,6105.07,181,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-09,5808.4,5517.98,6098.82,198,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-10,5942.45,5645.33,6239.57,218,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-11,5860.5,5567.47,6153.53,168,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-13,5940.6,5643.57,6237.63,185,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-14,5816.65,5525.82,6107.48,169,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-15,5896.7,5601.86,6191.53,154,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-16,5878.75,5584.81,6172.69,199,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-17,5794.8,5505.06,6084.54,175,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-18,5816.85,5526.01,6107.69,163,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-20,5818.95,5528.0,6109.9,167,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-21,5951.0,5653.45,6248.55,229,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-22,5951.05,5653.5,6248.6,162,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-23,5939.1,5642.15,6236.06,179,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-24,5957.15,5659.29,6255.01,201,Quintal
Groundnut,Rajkot,Various,Rajkot,2014-01-25,5957.2,5659.34,6255.06,201,Quintal
