commodity,market,state,district,date,modal_price,min_price,max_price,arrivals,unit
Mustard,Jaipur,Various,Jaipur,2014-01-01,5524.0,5247.8,5800.2,197,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-02,5410.05,5139.55,5680.55,212,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-03,5600.1,5320.1,5880.11,236,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-04,5440.15,5168.14,5712.16,237,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-06,5414.25,5143.54,5684.96,229,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-07,5440.3,5168.28,5712.32,173,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-08,5588.35,5308.93,5867.77,181,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-09,5572.4,5293.78,5851.02,198,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-10,5582.45,5303.33,5861.57,218,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-11,5554.5,5276.77,5832.23,168,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-13,5548.6,5271.17,5826.03,185,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-14,5598.65,5318.72,5878.58,169,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-15,5602.7,5322.56,5882.84,154,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-16,5524.75,5248.51,5800.99,199,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-17,5536.8,5259.96,5813.64,175,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-18,5494.85,5220.11,5769.59,163,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-20,5532.95,5256.3,5809.6,167,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-21,5595.0,5315.25,5874.75,229,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-22,5509.05,5233.6,5784.5,162,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-23,5609.1,5328.65,5889.56,179,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-24,5421.15,5150.09,5692.21,201,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-25,5461.2,5188.14,5734.26,201,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-27,5573.3,5294.64,5851.97,182,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-28,5501.35,5226.28,5776.42,244,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-29,5435.4,5163.63,5707.17,182,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-30,5489.45,5214.98,5763.92,180,Quintal
Mustard,Jaipur,Various,Jaipur,2014-01-31,5579.5,5300.52,5858.48,224,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-01,5587.55,5308.17,5866.93,178,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-03,5445.65,5173.37,5717.93,157,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-04,5511.7,5236.11,5787.28,169,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-05,5425.75,5154.46,5697.04,162,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-06,5595.8,5316.01,5875.59,186,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-07,5573.85,5295.16,5852.54,175,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-08,5535.9,5259.1,5812.69,179,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-10,5518.0,5242.1,5793.9,232,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-12,5474.1,5200.4,5747.81,164,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-14,5412.2,5141.59,5682.81,244,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-15,5412.25,5141.64,5682.86,202,Quintal
Mustard,Jaipur,Various,Jaipur,2014-02-17,5576.35,5297.53,5855.17,156,Quintal
