commodity,market,state,district,date,modal_price,min_price,max_price,arrivals,unit
Sesame,Rajkot,Various,Rajkot,2014-01-01,11456.0,10883.2,12028.8,197,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-02,11384.05,10814.85,11953.25,212,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-03,11378.1,10809.19,11947.01,236,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-04,11340.15,10773.14,11907.16,237,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-06,11306.25,10740.94,11871.56,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-07,11362.3,10794.18,11930.41,173,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-08,11492.35,10917.73,12066.97,181,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-09,11324.4,10758.18,11890.62,198,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-10,11452.45,10879.83,12025.07,218,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-11,11384.5,10815.27,11953.73,168,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-13,11488.6,10914.17,12063.03,185,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-14,11322.65,10756.52,11888.78,169,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-15,11370.7,10802.17,11939.24,154,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-16,11478.75,10904.81,12052.69,199,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-17,11444.8,10872.56,12017.04,175,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-18,11392.85,10823.21,11962.49,163,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-20,11450.95,10878.4,12023.5,167,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-21,11309.0,10743.55,11874.45,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-22,11311.05,10745.5,11876.6,162,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-23,11435.1,10863.34,12006.86,179,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-24,11335.15,10768.39,11901.91,201,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-25,11381.2,10812.14,11950.26,201,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-27,11489.3,10914.83,12063.76,182,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-28,11487.35,10912.98,12061.72,244,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-29,11351.4,10783.83,11918.97,182,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-30,11305.45,10740.18,11870.72,180,Quintal
Sesame,Rajkot,Various,Rajkot,2014-01-31,11415.5,10844.73,11986.27,224,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-01,11465.55,10892.27,12038.83,178,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-03,11353.65,10785.97,11921.33,157,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-04,11301.7,10736.61,11866.79,169,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-05,11455.75,10882.96,12028.54,162,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-06,11311.8,10746.21,11877.39,186,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-07,11415.85,10845.06,11986.64,175,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-08,11409.9,10839.4,11980.4,179,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-10,11430.0,10858.5,12001.5,232,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-12,11460.1,10887.09,12033.11,164,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-14,11440.2,10868.19,12012.21,244,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-15,11362.25,10794.14,11930.36,202,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-17,11358.35,10790.43,11926.27,156,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-18,11376.4,10807.58,11945.22,184,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-19,11410.45,10839.93,11980.97,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-20,11492.5,10917.88,12067.12,172,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-22,11428.6,10857.17,12000.03,171,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-24,11460.7,10887.67,12033.74,208,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-25,11466.75,10893.41,12040.09,191,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-26,11368.8,10800.36,11937.24,165,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-27,11400.85,10830.81,11970.89,166,Quintal
Sesame,Rajkot,Various,Rajkot,2014-02-28,11374.9,10806.15,11943.65,195,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-01,11500.95,10925.9,12076.0,220,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-03,11401.05,10831.0,11971.1,235,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-04,11413.1,10842.44,11983.76,163,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-05,11359.15,10791.19,11927.11,153,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-06,11487.2,10912.84,12061.56,154,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-07,11313.25,10747.59,11878.91,217,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-08,11375.3,10806.53,11944.07,242,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-10,11369.4,10800.93,11937.87,185,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-11,11323.45,10757.28,11889.62,221,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-12,11423.5,10852.32,11994.68,241,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-13,11439.55,10867.57,12011.53,207,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-14,11413.6,10842.92,11984.28,161,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-15,11397.65,10827.77,11967.53,173,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-17,11369.75,10801.26,11938.24,247,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-19,11417.85,10846.96,11988.74,198,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-20,11337.9,10771.0,11904.8,156,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-21,11447.95,10875.55,12020.35,197,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-22,11440.0,10868.0,12012.0,243,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-24,11392.1,10822.49,11961.71,208,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-25,11470.15,10896.64,12043.66,153,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-26,11472.2,10898.59,12045.81,246,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-27,11438.25,10866.34,12010.16,194,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-28,11410.3,10839.78,11980.82,167,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-29,11332.35,10765.73,11898.97,207,Quintal
Sesame,Rajkot,Various,Rajkot,2014-03-31,11354.45,10786.73,11922.17,207,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-01,11418.5,10847.57,11989.43,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-02,11470.55,10897.02,12044.08,173,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-03,11480.6,10906.57,12054.63,248,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-04,11320.65,10754.62,11886.68,201,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-05,11450.7,10878.17,12023.24,197,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-07,11502.8,10927.66,12077.94,183,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-08,11452.85,10880.21,12025.49,191,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-09,11468.9,10895.45,12042.34,249,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-10,11472.95,10899.3,12046.6,219,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-11,11375.0,10806.25,11943.75,187,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-12,11411.05,10840.5,11981.6,235,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-14,11317.15,10751.29,11883.01,202,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-15,11391.2,10821.64,11960.76,237,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-16,11453.25,10880.59,12025.91,202,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-17,11463.3,10890.13,12036.47,151,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-18,11383.35,10814.18,11952.52,186,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-19,11435.4,10863.63,12007.17,249,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-21,11497.5,10922.62,12072.38,154,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-22,11457.55,10884.67,12030.43,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-23,11357.6,10789.72,11925.48,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-24,11441.65,10869.57,12013.73,152,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-25,11427.7,10856.32,11999.09,248,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-26,11431.75,10860.16,12003.34,213,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-28,11501.85,10926.76,12076.94,235,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-29,11441.9,10869.8,12014.0,206,Quintal
Sesame,Rajkot,Various,Rajkot,2014-04-30,11457.95,10885.05,12030.85,229,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-02,11442.05,10869.95,12014.15,242,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-03,11392.1,10822.49,11961.71,226,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-05,11448.2,10875.79,12020.61,234,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-06,11376.25,10807.44,11945.06,152,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-07,11444.3,10872.08,12016.51,199,Quintal
Sesame,Rajkot,Various,Rajkot,2014-05-08,11358.35,10790.43,11926.27,220,Quintal
