commodity,variety,market,district,state,date,modal_price,min_price,max_price,arrivals,unit
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-01,11852.66,10996.39,12322.31,146.66,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-02,11693.09,11153.83,12213.37,187.49,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-03,11662.7,10786.53,12199.44,109.45,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-04,13502.09,12809.09,14190.24,40.6,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-05,11432.45,10570.71,12162.38,46.21,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-06,12087.18,11517.24,12549.43,147.39,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-07,12199.98,11724.08,13157.56,145.45,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-08,11755.76,10919.98,12344.46,187.77,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-09,10796.95,10036.22,11568.19,134.52,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-10,11841.54,11063.33,12224.63,116.14,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-11,11917.15,11315.64,12557.77,30.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-12,12032.16,11270.7,12538.07,47.38,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-13,12234.73,11560.78,13079.15,158.19,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-14,11937.65,11526.27,12654.32,98.65,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-15,0.0,10821.18,11968.06,0.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-16,0.0,10204.2,11551.23,0.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-17,11995.9,11347.86,12473.18,185.85,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-18,9559.12,9070.29,10172.62,42.94,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-19,0.0,11070.63,12358.08,0.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-20,12158.49,11251.56,12981.11,150.25,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-21,11923.51,11468.97,12629.36,152.53,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-22,0.0,11926.4,13174.64,0.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-23,11465.3,11071.51,12187.59,137.4,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-24,11924.64,11266.85,12668.81,176.67,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-25,11508.81,11031.63,11919.56,40.31,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-26,10587.97,10149.32,11233.6,55.5,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-27,11301.56,10825.71,12142.26,150.8,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-28,12426.5,11969.87,12874.14,89.02,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-29,11006.07,10138.81,11645.34,165.93,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-30,10562.53,10063.96,11111.25,166.74,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-01-31,12320.98,11639.26,12911.26,167.3,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-01,11944.07,11222.12,12442.01,9.94,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-02,10539.67,9857.35,11241.76,19.32,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-03,11218.74,10327.99,11770.42,75.88,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-04,11350.01,10702.36,11790.49,8.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-05,10629.14,10022.92,11008.54,17.97,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-06,12769.94,11753.69,13220.87,5.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-07,12035.5,11442.03,12612.78,48.64,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-08,10903.52,10193.48,11484.54,20.0,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-09,12210.23,11502.82,13029.5,13.7,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-10,11624.9,10743.38,12115.18,17.47,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-11,12286.85,11777.11,13071.71,38.29,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-12,12013.06,11075.64,12727.74,30.58,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-13,11712.2,11012.42,12386.46,18.63,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-14,12346.79,11736.7,12729.83,23.47,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-15,11853.94,11495.38,12610.72,1.5,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-16,12485.4,11694.7,13246.85,11.53,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-17,11803.32,10867.23,12699.78,27.1,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-18,13106.54,12160.2,13704.39,5.88,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-19,11650.6,11179.36,12264.34,52.79,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-20,9906.17,9327.94,10365.91,44.74,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-21,11897.15,11524.38,12350.31,28.76,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-22,13020.67,12302.13,13624.97,1.5,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-23,11642.5,11076.55,12009.33,4.64,Quintal
Sesame,White,Bangalore,Bangalore,Karnataka,2020-02-24,11604.15,11213.62,12456.57,27.16,Quintal
