commodity,market,state,district,date,modal_price,min_price,max_price,arrivals,unit
Soybean,Indore,Various,Indore,2014-01-01,4287.0,4072.65,4501.35,197,Quintal
Soybean,Indore,Various,Indore,2014-01-02,4259.05,4046.1,4472.0,212,Quintal
Soybean,Indore,Various,Indore,2014-01-03,4323.1,4106.94,4539.26,236,Quintal
Soybean,Indore,Various,Indore,2014-01-04,4343.15,4125.99,4560.31,237,Quintal
Soybean,Indore,Various,Indore,2014-01-06,4199.25,3989.29,4409.21,229,Quintal
Soybean,Indore,Various,Indore,2014-01-07,4225.3,4014.03,4436.57,173,Quintal
Soybean,Indore,Various,Indore,2014-01-08,4269.35,4055.88,4482.82,181,Quintal
Soybean,Indore,Various,Indore,2014-01-09,4347.4,4130.03,4564.77,198,Quintal
Soybean,Indore,Various,Indore,2014-01-10,4315.45,4099.68,4531.22,218,Quintal
Soybean,Indore,Various,Indore,2014-01-11,4239.5,4027.52,4451.48,168,Quintal
Soybean,Indore,Various,Indore,2014-01-13,4307.6,4092.22,4522.98,185,Quintal
Soybean,Indore,Various,Indore,2014-01-14,4371.65,4153.07,4590.23,169,Quintal
Soybean,Indore,Various,Indore,2014-01-15,4273.7,4060.01,4487.39,154,Quintal
Soybean,Indore,Various,Indore,2014-01-16,4305.75,4090.46,4521.04,199,Quintal
Soybean,Indore,Various,Indore,2014-01-17,4285.8,4071.51,4500.09,175,Quintal
Soybean,Indore,Various,Indore,2014-01-18,4243.85,4031.66,4456.04,163,Quintal
Soybean,Indore,Various,Indore,2014-01-20,4233.95,4022.25,4445.65,167,Quintal
Soybean,Indore,Various,Indore,2014-01-21,4308.0,4092.6,4523.4,229,Quintal
Soybean,Indore,Various,Indore,2014-01-22,4204.05,3993.85,4414.25,162,Quintal
Soybean,Indore,Various,Indore,2014-01-23,4178.1,3969.2,4387.01,179,Quintal
Soybean,Indore,Various,Indore,2014-01-24,4342.15,4125.04,4559.26,201,Quintal
Soybean,Indore,Various,Indore,2014-01-25,4316.2,4100.39,4532.01,201,Quintal
Soybean,Indore,Various,Indore,2014-01-27,4320.3,4104.28,4536.32,182,Quintal
Soybean,Indore,Various,Indore,2014-01-28,4204.35,3994.13,4414.57,244,Quintal
Soybean,Indore,Various,Indore,2014-01-29,4294.4,4079.68,4509.12,182,Quintal
Soybean,Indore,Various,Indore,2014-01-30,4342.45,4125.33,4559.57,180,Quintal
Soybean,Indore,Various,Indore,2014-01-31,4240.5,4028.47,4452.53,224,Quintal
Soybean,Indore,Various,Indore,2014-02-01,4288.55,4074.12,4502.98,178,Quintal
Soybean,Indore,Various,Indore,2014-02-03,4290.65,4076.12,4505.18,157,Quintal
Soybean,Indore,Various,Indore,2014-02-04,4268.7,4055.26,4482.14,169,Quintal
Soybean,Indore,Various,Indore,2014-02-05,4364.75,4146.51,4582.99,162,Quintal
Soybean,Indore,Various,Indore,2014-02-06,4242.8,4030.66,4454.94,186,Quintal
Soybean,Indore,Various,Indore,2014-02-07,4330.85,4114.31,4547.39,175,Quintal
Soybean,Indore,Various,Indore,2014-02-08,4344.9,4127.65,4562.14,179,Quintal
Soybean,Indore,Various,Indore,2014-02-10,4201.0,3990.95,4411.05,232,Quintal
Soybean,Indore,Various,Indore,2014-02-12,4287.1,4072.75,4501.46,164,Quintal
Soybean,Indore,Various,Indore,2014-02-14,4219.2,4008.24,4430.16,244,Quintal
Soybean,Indore,Various,Indore,2014-02-15,4369.25,4150.79,4587.71,202,Quintal
Soybean,Indore,Various,Indore,2014-02-17,4261.35,4048.28,4474.42,156,Quintal
Soybean,Indore,Various,Indore,2014-02-18,4371.4,4152.83,4589.97,184,Quintal
Soybean,Indore,Various,Indore,2014-02-19,4199.45,3989.48,4409.42,229,Quintal
Soybean,Indore,Various,Indore,2014-02-20,4285.5,4071.22,4499.78,172,Quintal
Soybean,Indore,Various,Indore,2014-02-22,4361.6,4143.52,4579.68,171,Quintal
Soybean,Indore,Various,Indore,2014-02-24,4317.7,4101.81,4533.59,208,Quintal
Soybean,Indore,Various,Indore,2014-02-25,4181.75,3972.66,4390.84,191,Quintal
Soybean,Indore,Various,Indore,2014-02-26,4187.8,3978.41,4397.19,165,Quintal
Soybean,Indore,Various,Indore,2014-02-27,4309.85,4094.36,4525.34,166,Quintal
Soybean,Indore,Various,Indore,2014-02-28,4199.9,3989.9,4409.89,195,Quintal
Soybean,Indore,Various,Indore,2014-03-01,4305.95,4090.65,4521.25,220,Quintal
Soybean,Indore,Various,Indore,2014-03-03,4332.05,4115.45,4548.65,235,Quintal
Soybean,Indore,Various,Indore,2014-03-04,4316.1,4100.3,4531.91,163,Quintal
Soybean,Indore,Various,Indore,2014-03-05,4298.15,4083.24,4513.06,153,Quintal
Soybean,Indore,Various,Indore,2014-03-06,4288.2,4073.79,4502.61,154,Quintal
Soybean,Indore,Various,Indore,2014-03-07,4354.25,4136.54,4571.96,217,Quintal
Soybean,Indore,Various,Indore,2014-03-08,4232.3,4020.68,4443.91,242,Quintal
Soybean,Indore,Various,Indore,2014-03-10,4210.4,3999.88,4420.92,185,Quintal
Soybean,Indore,Various,Indore,2014-03-11,4340.45,4123.43,4557.47,221,Quintal
Soybean,Indore,Various,Indore,2014-03-12,4366.5,4148.18,4584.82,241,Quintal
Soybean,Indore,Various,Indore,2014-03-13,4204.55,3994.32,4414.78,207,Quintal
Soybean,Indore,Various,Indore,2014-03-14,4370.6,4152.07,4589.13,161,Quintal
Soybean,Indore,Various,Indore,2014-03-15,4196.65,3986.82,4406.48,173,Quintal
Soybean,Indore,Various,Indore,2014-03-17,4186.75,3977.41,4396.09,247,Quintal
Soybean,Indore,Various,Indore,2014-03-19,4270.85,4057.31,4484.39,198,Quintal
Soybean,Indore,Various,Indore,2014-03-20,4356.9,4139.05,4574.74,156,Quintal
Soybean,Indore,Various,Indore,2014-03-21,4178.95,3970.0,4387.9,197,Quintal
Soybean,Indore,Various,Indore,2014-03-22,4283.0,4068.85,4497.15,243,Quintal
