commodity,variety,market,district,state,date,modal_price,min_price,max_price,arrivals,unit
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-01,5016.38,4832.37,5247.22,392.81,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-02,4372.53,4218.54,4624.51,377.02,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-03,4296.18,4088.75,4534.07,465.76,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-04,5218.53,4813.24,5589.94,132.47,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-05,4697.38,4469.68,4859.45,117.07,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-06,4808.5,4642.83,4978.38,462.16,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-07,4997.89,4766.11,5221.81,463.55,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-08,4772.69,4559.76,5094.51,365.69,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-09,5111.68,4857.25,5472.12,508.64,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-10,5032.28,4719.49,5255.63,389.49,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-11,4796.88,4535.48,5135.35,133.93,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-12,4938.14,4625.26,5296.21,117.63,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-13,5113.34,4704.35,5518.59,285.45,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-14,4572.96,4210.61,4733.84,224.38,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-15,4177.03,3974.66,4438.41,319.44,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-16,4801.03,4466.57,5005.27,399.73,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-17,0.0,4432.19,4844.36,0.0,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-18,4425.23,4269.39,4612.95,122.26,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-19,4505.95,4212.77,4841.63,140.99,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-20,0.0,4722.23,5160.8,0.0,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-21,4832.6,4675.62,4982.51,634.63,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-22,5176.46,4848.83,5469.4,429.92,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-23,4843.48,4634.89,5072.56,408.47,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-24,4957.16,4587.23,5185.56,393.31,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-25,4754.41,4493.04,4918.9,122.79,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-26,4412.87,4203.3,4601.4,131.64,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-27,4852.85,4605.31,5020.05,375.09,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-28,5220.27,4973.05,5600.83,439.44,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-29,4892.76,4524.94,5240.39,307.52,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-30,4679.1,4515.48,4842.04,392.11,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-01-31,4388.72,4058.71,4627.23,436.22,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-01,4423.41,4142.37,4574.94,116.9,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-02,4688.97,4342.92,5062.48,85.98,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-03,4011.81,3732.85,4150.78,571.02,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-04,4424.9,4166.98,4774.03,362.58,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-05,4284.09,4011.98,4425.42,369.65,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-06,4593.77,4357.07,4809.08,280.78,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-07,4803.27,4432.04,4995.46,438.18,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-08,4340.71,4011.91,4531.96,124.0,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-09,4269.83,4130.4,4501.63,118.79,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-10,5050.14,4728.46,5213.04,478.25,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-11,4344.25,4085.22,4530.54,345.83,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-12,4336.02,4152.44,4566.89,311.43,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-13,4166.63,3843.12,4291.9,423.99,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-14,4423.32,4142.32,4578.5,353.44,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-15,4644.78,4411.51,4999.8,83.15,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-16,3955.62,3713.81,4149.6,113.29,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-17,4685.12,4445.21,4961.39,437.49,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-18,3872.19,3609.45,4047.48,426.91,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-19,4713.86,4477.2,5064.04,437.05,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-20,3813.59,3685.82,4046.92,253.79,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-21,4175.4,3964.98,4401.05,469.57,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-22,3857.69,3655.78,4133.61,103.35,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-23,4749.23,4492.82,4982.28,124.98,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-24,4835.98,4551.59,4998.91,594.3,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-25,4628.04,4448.54,4911.4,343.33,Quintal
Soybean,Yellow,Bhopal,Bhopal,Madhya Pradesh,2020-02-26,4647.16,4405.32,4877.27,366.8,Quintal
