commodity,variety,market,district,state,date,modal_price,min_price,max_price,arrivals,unit
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-01,5009.52,4739.46,5289.56,66.32,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-02,5991.7,5720.91,6244.71,10.85,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-03,5846.81,5425.67,6184.41,122.68,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-04,6026.66,5562.95,6392.31,18.87,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-05,6177.32,5959.83,6378.19,18.59,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-06,6143.01,5829.86,6454.22,28.43,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-07,5752.72,5360.58,6019.48,24.24,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-08,5595.7,5261.83,5968.85,14.31,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-09,6343.14,5861.61,6649.5,17.27,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-10,6060.64,5864.95,6343.87,8.27,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-11,6489.91,6195.11,6841.01,8.92,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-12,5580.72,5329.56,5990.46,10.01,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-13,5804.16,5357.48,6021.98,56.2,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-14,6328.37,5856.7,6830.42,19.66,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-15,6468.09,6104.84,6923.58,101.96,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-16,6083.78,5671.13,6345.33,99.66,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-17,6896.34,6416.29,7348.76,129.22,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-18,6615.19,6086.22,7060.28,16.88,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-19,6374.85,6008.49,6741.21,1.5,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-20,6096.52,5842.83,6487.51,129.47,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-21,5791.87,5386.73,6065.52,5.0,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-22,6031.67,5617.23,6291.57,40.26,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-23,6127.95,5719.53,6445.5,41.1,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-24,6454.17,6210.99,6767.48,61.99,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-25,6531.36,6215.39,6961.64,16.36,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-26,5618.36,5351.04,5926.89,31.54,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-27,5563.77,5283.16,5936.69,55.63,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-28,6103.33,5905.25,6445.18,55.81,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-29,5723.44,5542.41,6101.86,66.32,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-30,5969.92,5552.65,6440.68,79.93,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-01-31,5845.55,5509.64,6148.4,84.44,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-01,6251.6,5864.73,6556.63,72.62,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-02,6865.55,6407.1,7147.33,81.39,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-03,6553.33,6197.42,6845.34,226.66,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-04,6580.86,6248.41,6975.12,177.63,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-05,6013.49,5787.7,6315.53,244.47,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-06,6342.53,5968.82,6614.08,161.72,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-07,5950.96,5548.98,6333.56,247.08,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-08,6856.4,6597.27,7375.03,95.87,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-09,6308.78,5916.38,6744.18,54.09,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-10,6484.69,6127.67,6723.7,206.76,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-11,6661.33,6167.31,7007.58,213.13,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-12,6763.37,6307.8,7092.53,340.1,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-13,6241.64,5994.11,6691.05,204.95,Quintal
Mustard,Black,Alwar,Alwar,Rajasthan,2020-02-14,6650.05,6389.44,7175.04,215.87,Quintal
